id,author,state,created_at,closed_at,title
2278881563,chenyufeifei,closed,2024-05-04 09:24:19+00:00,2024-05-16 13:04:13+00:00,为什么训练时对预测结果进行逆变换会比不对预测结果进行逆变换的结果要更好。
2272964551,well0203,closed,2024-05-01 05:32:17+00:00,2024-05-02 06:40:01+00:00,Train Loss is higher than Validation and Test Loss
2267942164,YuboCoco,closed,2024-04-29 01:19:12+00:00,2024-05-02 06:32:42+00:00,请问同时考虑回归和时序该如何做？
2267500995,johnny890122,open,2024-04-28 11:38:56+00:00,,fetch the latest commit
2267053033,BorgDiven,closed,2024-04-27 15:02:44+00:00,2024-05-02 06:34:30+00:00,Guidance on Setting Parameters for Univariate Time Series Prediction
2267003029,erickmiller,closed,2024-04-27 12:51:59+00:00,2024-05-19 09:17:15+00:00,Multivariate regression missing from benchmark
2265340735,DigitalLifeYZQiu,closed,2024-04-26 09:18:46+00:00,2024-04-26 09:21:10+00:00,Augmentation code base for Time-Series-Library
2263154581,bby2000,closed,2024-04-25 09:46:42+00:00,2024-04-26 04:40:40+00:00,exp_short_forecasting
2259995204,MohidulHaqueTushar,closed,2024-04-24 00:27:35+00:00,2024-04-24 08:21:17+00:00,Will there be a tutorial for Autoformer?
2254338256,chengsaf,closed,2024-04-20 02:48:34+00:00,2024-04-21 06:38:55+00:00,time series diagram
2254334641,listview998,closed,2024-04-20 02:36:45+00:00,2024-05-06 07:57:34+00:00,Dimension issue encountered during TimeMixer training  
2249647202,kirito5206,closed,2024-04-18 03:11:39+00:00,2024-04-18 14:48:07+00:00,KeyError: 'frequency_map' 
2246233882,edwardhuanghz,closed,2024-04-16 14:39:41+00:00,2024-07-14 03:59:04+00:00,"env error:Could not build wheels for mamba_ssm, which is required to install pyproject.toml-based projects**"
2245875816,534145232,closed,2024-04-16 12:05:31+00:00,2024-04-18 14:49:34+00:00,关于autoformer的embedding方式
2245601533,GBX-Engineer,closed,2024-04-16 09:41:07+00:00,2024-04-18 14:44:17+00:00,在短期时序预测M4数据集上发生问题如下问题：1）在预测小时的m4数据集时发生错误，需要修改h=4到h=1才能运行，不知道这样操作是否正确？2）训练集的误差极大，收敛速度很满，且提早early_stopping，不知道是什么问题呢？
2245241384,silent780,closed,2024-04-16 06:42:42+00:00,2024-04-18 14:45:55+00:00,异常检测中test函数中为什么要用到adjustment函数？
2238857084,erickmiller,closed,2024-04-12 01:18:31+00:00,2024-04-19 08:36:55+00:00,samformer
2235520607,badfish2019,closed,2024-04-10 12:49:13+00:00,2024-05-19 09:18:10+00:00,短时序预测发生问题
2233439694,rezanematirad,closed,2024-04-09 13:26:03+00:00,2024-04-18 14:56:53+00:00,"Long term forecasting, Input shape to FFT"
2232795055,feng1201,closed,2024-04-09 07:32:30+00:00,2024-07-14 04:06:56+00:00,在执行exp_long_term_forecasting第122行时遇到维度不匹配
2225526877,frecklebars,closed,2024-04-04 13:29:09+00:00,2024-04-04 15:05:22+00:00,Added Mamba models implementation for forecasting tasks
2224623384,LeqiGu,closed,2024-04-04 06:40:16+00:00,2024-04-09 02:08:13+00:00,freq_map
2224259301,HowardZJU,closed,2024-04-04 01:45:56+00:00,2024-06-23 08:27:33+00:00,How to raise a PR with loss function update?
2221841692,LeqiGu,closed,2024-04-03 04:03:47+00:00,2024-04-03 09:58:57+00:00,TimesNet Batch输入问题
2219660061,ForestR,closed,2024-04-02 06:25:30+00:00,2024-04-02 17:50:26+00:00,Confusion in the contents of the Leaderboard from `thuml`
2217851788,Kivirrr,closed,2024-04-01 08:53:29+00:00,2024-04-01 08:57:15+00:00,您好，我想请教一下在时间序列预测中的真实样本外预测问题！
2217348684,ouyuan416,closed,2024-04-01 02:02:26+00:00,2024-04-01 08:58:49+00:00,一些问题请教
2215124624,lss-1138,closed,2024-03-29 10:57:58+00:00,2024-04-01 09:04:40+00:00,Add SegRNN Code
2212586273,kwuking,closed,2024-03-28 07:56:34+00:00,2024-03-28 08:25:16+00:00,add TimeMixer and TSMixer
2210194729,caocaort,closed,2024-03-27 08:42:09+00:00,2024-03-28 13:06:51+00:00,"For the task of anomaly detection, there is a problem with the “detection adjustment” method."
2210187047,Joseph410144,closed,2024-03-27 08:39:34+00:00,2024-03-28 13:13:19+00:00,TimesNet Model: The use of softmax for adaptive aggregation can lead to overflow issues.
2209570040,GGchen1997,closed,2024-03-27 00:16:19+00:00,2024-03-28 13:19:14+00:00, Validation and Test
2205200640,ZHE0725,closed,2024-03-25 08:44:35+00:00,2024-03-28 13:21:07+00:00,关于维度重构问题
2204641445,sshen-2004,closed,2024-03-25 00:23:12+00:00,2024-03-28 13:23:06+00:00,TimesNet incompatible weight shape vs. input shape 
2200751676,bsshor,closed,2024-03-21 17:15:16+00:00,2024-03-23 02:47:37+00:00,exp_classification里，所有的flag赋值用的都是大写字母的问题
2197537810,herkerser,closed,2024-03-20 13:28:43+00:00,2024-03-23 02:53:30+00:00,About Data Leakage in FFT_for_Period
2196725052,chengsaf,closed,2024-03-20 06:02:20+00:00,2024-03-23 02:56:40+00:00,hyperparameter
2183442595,morestart,closed,2024-03-13 08:54:48+00:00,2024-03-23 03:00:39+00:00,TimesNet
2182987056,liyiersan,closed,2024-03-13 02:19:32+00:00,2024-03-13 02:59:58+00:00,fix bugs in imputation for MS
2181425702,SmallCatShark,closed,2024-03-12 11:51:26+00:00,2024-03-12 13:54:24+00:00,作者大大，请教一个问题
2180601759,johnny890122,closed,2024-03-12 02:36:19+00:00,2024-03-12 02:39:59+00:00,Test/wandb
2178485475,liyiersan,closed,2024-03-11 08:05:16+00:00,2024-03-12 06:03:30+00:00,Questions about imputation in TimesNet
2178417124,liyiersan,closed,2024-03-11 07:30:20+00:00,2024-03-13 03:00:11+00:00,bugs in exp_imputation.py
